Comment,Domain,Sarcasm
Fantastic — the film cut away every time something interesting happened.,movies,Yes
The screenplay's structure was elegant under repeated viewing.,movies,No
Brilliant — the note I typed for an hour didn't save.,apps,Yes
The instruction video linked in the manual was very clear.,ecommerce,No
Loved the experimental film that experimented with my patience.,movies,Yes
The ambient lighting was perfect for a relaxed dinner.,restaurants,No
I returned a faulty item and received a replacement promptly.,ecommerce,No
The roof terrace had the best view of the city.,hotels,No
The dual timeline structure was handled with rare precision.,movies,No
Brilliant — the TV remote had dead batteries.,hotels,Yes
The dual timeline structure was handled with rare precision.,movies,No
Support chat connects to a real agent quickly.,apps,No
Great — the film's funniest moment was the end credits.,movies,Yes
Great — the font size setting does absolutely nothing.,apps,Yes
Love the notifications I never asked for at 3am.,apps,Yes
Super — the hotel hosted a conference that blocked every entrance.,hotels,Yes
The packaging was sturdy and the product was undamaged.,ecommerce,No
Fantastic — the rust-proof coating rusted.,ecommerce,Yes
The GP practice proactively contacted me for preventive care.,healthcare,No
The tutorials are clear and can be revisited anytime.,apps,No
Loved the 'stainless steel' that rusted within a week.,ecommerce,Yes
Fantastic — the marketing promised a thriller; the film delivered a nap.,movies,Yes
The film's perspective was distinctive and fully realised.,movies,No
Great — the hotel charged a resort fee for a resort that wasn't there.,hotels,Yes
The learning curve was short even for a non-technical user.,apps,No
Fantastic — the noise from the hallway made sleep impossible.,hotels,Yes
Brilliant — the in-room tablet was locked to the hotel's app.,hotels,Yes
Genius move adding more ads than content.,apps,Yes
Brilliant reception staff — put me on hold for 45 minutes.,healthcare,Yes
Wonderful — the nurse's tone was more frightening than the diagnosis.,healthcare,Yes
Wonderful — the tablecloth hid the table but not the wobble.,restaurants,Yes
The pastry section is among the best I've experienced.,restaurants,No
Staff were knowledgeable about every dish on the menu.,restaurants,No
The app complies with my jurisdiction's data rules.,apps,No
Wonderful — the anti-bacterial spray grew bacteria.,ecommerce,Yes
Billing matched exactly what was quoted beforehand.,healthcare,No
The mental health referral was handled with sensitivity.,healthcare,No
"The casting was perfect across every role, large and small.",movies,No
Great — the film's message contradicted itself three times.,movies,Yes
Great — the 'best steak in town' lost to a frozen supermarket one.,restaurants,Yes
Brilliant — the spa appointment was double-booked.,hotels,Yes
Reception remembered my coffee preference from the first morning.,hotels,No
Brilliant — the consent form was six pages of text in 6pt font.,healthcare,Yes
Fantastic — the GPS tracker tracked everything except my item.,ecommerce,Yes
Loved the product that stopped working within 48 hours.,ecommerce,Yes
Loved the signature dish that arrived missing its signature ingredient.,restaurants,Yes
Brilliant — the nightstand lamp had no off switch.,hotels,Yes
Loved the clinic's 'award-winning' service that felt award-losing.,healthcare,Yes
Wonderful — the table had a candle; the food was served cold.,restaurants,Yes
Super — the brunch queue was longer than the experience.,restaurants,Yes
I compared three brands — this one had the best build quality.,ecommerce,No
Fantastic — night mode is blinding.,apps,Yes
Brilliant — the umbrella inverts in a light breeze.,ecommerce,Yes
Permissions are minimal and each one is explained.,apps,No
Loved discovering I need a premium plan to use the search bar.,apps,Yes
Brilliant horror — scared me with its incompetence.,movies,Yes
Great customer service — they never replied to my complaint.,ecommerce,Yes
Battery life matches the stated specification.,ecommerce,No
Loved the film that treated the audience's intelligence as optional.,movies,Yes
Wonderful — the bar closed at 8pm in a city that sleeps at midnight.,hotels,Yes
The shuttle ran on schedule and the driver was helpful.,hotels,No
The practice nurse was thorough during my annual check.,healthcare,No
The app separates personal and work profiles cleanly.,apps,No
Wonderful — every light in the room flickered with the TV.,hotels,Yes
Fantastic — the patient liaison 'resolved' my complaint by losing my file.,healthcare,Yes
A first feature that showed real command of the craft.,movies,No
"Error messages suggest a solution, not just a code.",apps,No
Brilliant — the in-room tablet was locked to the hotel's app.,hotels,Yes
The specialist waited for me to take notes before continuing.,healthcare,No
Great — the medical certificate had the wrong dates.,healthcare,Yes
The chemistry between the two leads was immediately convincing.,movies,No
Wonderful comedy — I laughed zero times.,movies,Yes
Great — the 'secret recipe' sauce tasted like a popular brand.,restaurants,Yes
Super — the breakfast buffet closed at 7am.,hotels,Yes
Fantastic — the 'sleep-inducing' mattress had springs in every position.,hotels,Yes
Dimensions on the listing were accurate to the centimetre.,ecommerce,No
Brilliant — the film's message was beaten into you every 10 minutes.,movies,Yes
Super — the kettle worked but there were no cups.,hotels,Yes
The lead performance carried genuine emotional weight.,movies,No
Brilliant — the nightstand lamp had no off switch.,hotels,Yes
The period detail was meticulous without being distracting.,movies,No
The food arrived hot and the portion size was generous.,restaurants,No
Super — the smoking cessation programme was held in the hospital car park.,healthcare,Yes
The GP practice called to remind me of a due vaccination.,healthcare,No
Great — the tapas portions were tapas-sized at main-course prices.,restaurants,Yes
Staff were knowledgeable about every dish on the menu.,restaurants,No
Fantastic — the plot holes were bigger than the screen.,movies,Yes
Housekeeping was thorough and left the room immaculate.,hotels,No
Brilliant — the iron scorched everything it touched.,hotels,Yes
The restaurant adapted the vegetarian tasting menu on the spot.,restaurants,No
The cinematography was breathtaking from the first frame.,movies,No
The world's rules were established early and never broken.,movies,No
Wonderful — the 'memory foam' pillow has the density of a brick.,ecommerce,Yes
Overall build is solid with no visible seams or gaps.,ecommerce,No
Super — the charging dock never actually charges.,ecommerce,Yes
Fantastic — the allergy-friendly dish had the allergen on it.,restaurants,Yes
The documentary changed my understanding of a subject I thought I knew.,movies,No
The restaurant accommodated a last-minute dietary change gracefully.,restaurants,No
Wonderful that deleting an item takes six confirmation taps.,apps,Yes
The hospital stay was clean and the staff were attentive.,healthcare,No
Great customer service — they never replied to my complaint.,ecommerce,Yes
Brilliant — the war film's moral was war is bad — revelatory.,movies,Yes
The refill is compatible and an exact fit.,ecommerce,No
The editing made a complex story easy to follow.,movies,No
The room's USB-C ports were a genuinely modern convenience.,hotels,No
The chef adapted a dish to my dietary needs willingly.,restaurants,No
The atmosphere was lively without being too loud for conversation.,restaurants,No
The diabetes nurse educator's advice was practical.,healthcare,No
Wonderful — the film's twist worked only if you ignored act one entirely.,movies,Yes
Great — the pasta was described as al dente and served as mush.,restaurants,Yes
The doctor welcomed my questions without making me feel rushed.,healthcare,No
Fantastic — the 'chef's table' had a view of the garbage bins.,restaurants,Yes
"The ensemble worked as a unit, not as competing performers.",movies,No
The welcome drink was a thoughtful and tasty gesture.,hotels,No
Super — auto-rotate activates only when I don't want it.,apps,Yes
Wonderful — the skip-intro button appears after the intro ends.,apps,Yes
Loved the awards bait that baited no awards.,movies,Yes
Wonderful — the ER triage nurse told me to sit and wait for four hours.,healthcare,Yes
Great — force-closing the app marks tasks as incomplete.,apps,Yes
Thrilled by the mandatory 5-second ad before a 10-second clip.,apps,Yes
Super — the voiceover narrated what was already visible on screen.,movies,Yes
Brilliant — the podiatrist's orthotics fit neither foot.,healthcare,Yes
The hotel proactively called to confirm my late arrival.,hotels,No
Brilliant — the farm-to-table restaurant's farm was a factory.,restaurants,Yes
Loved the bloated franchise entry that forgot to have a story.,movies,Yes
The receptionist found an earlier slot when one opened.,healthcare,No
Loved the new animation that hides the button I need.,apps,Yes
Super — the birthday cake arrived three hours after we'd left.,restaurants,Yes
The geriatrician reviewed all medications for interactions.,healthcare,No
Loved the beautiful view of the ventilation shaft.,hotels,Yes
The clinic's app keeps all my health records in one place.,healthcare,No
Great — the 'brand new' item came with scratches and pet hair.,ecommerce,Yes
Great — the checkout line was longer than the check-in line.,hotels,Yes
Sound quality at this price is genuinely impressive.,ecommerce,No
Great — opened the box to find a rock instead of my order.,ecommerce,Yes
The hotel app allowed smooth keyless room entry.,hotels,No
The reservation reminder included parking tips — very thoughtful.,restaurants,No
Great — the seed kit grew exactly zero plants.,ecommerce,Yes
The refill is compatible and an exact fit.,ecommerce,No
Loved the beard trimmer that shaved my skin instead of stubble.,ecommerce,Yes
Loved the 'modern' room with windows from 1975.,hotels,Yes
All zips and closures work smoothly after months of use.,ecommerce,No
The film earned its 'based on a true story' label.,movies,No
The opening five minutes set up everything the film then paid off.,movies,No
Great — the flu clinic ran out of vaccines in the first hour.,healthcare,Yes
The physiotherapy exercises were demonstrated clearly.,healthcare,No
Weight listed matched actual weight — important for shipping.,ecommerce,No
Brilliant — the car phone mount fell off while driving.,ecommerce,Yes
Fantastic — the waiting room had a single 2014 magazine.,healthcare,Yes
Superb — the activity feed shows activity I didn't do.,apps,Yes
Loved the pristine bathroom with a broken toilet handle.,hotels,Yes
Brilliant — the nurse forgot my allergy was on file and almost administered it.,healthcare,Yes
Brilliant — they charged me for services I never received.,healthcare,Yes
Fantastic — the protagonist solved the film's problem entirely by accident.,movies,Yes
Outstanding that they removed copy-paste from text fields.,apps,Yes
The cocktail menu featured local spirits — a nice touch.,hotels,No
Everything in the kit was included with no missing parts.,ecommerce,No
Every decision in the film felt considered and purposeful.,movies,No
Permissions are minimal and each one is explained.,apps,No
Great — the online patient portal has been 'under maintenance' for months.,healthcare,Yes
Super — the supposedly dishwasher-safe mug cracked in cold water.,ecommerce,Yes
Brilliant — the assembly instructions were for a different product.,ecommerce,Yes
"Content loads progressively, so I can start reading immediately.",apps,No
Brilliant design — can't find a single feature I need.,apps,Yes
Brilliant — the multi-tool kit was missing every promised tool.,ecommerce,Yes
The ambient lighting was perfect for a relaxed dinner.,restaurants,No
The hotel's charity partnership added a meaningful element to the stay.,hotels,No
The hotel's recycling programme was easy for guests to use.,hotels,No
Loved the blender that couldn't blend a banana.,ecommerce,Yes
Brilliant — the five-course tasting menu had five identical flavours.,restaurants,Yes
Great — the Wi-Fi range extender reduced my Wi-Fi range.,ecommerce,Yes
The product's app paired without any troubleshooting.,ecommerce,No
Fantastic — my patient records were lost three times.,healthcare,Yes
The optometrist's prescription was accurate from the first fitting.,healthcare,No
The political themes were present without being preachy.,movies,No
Loved being billed for a consultation that never happened.,healthcare,Yes
Fantastic — the LED lamp is dimmer than a candle.,ecommerce,Yes
Amazing product — fell apart on the second day.,ecommerce,Yes
The post-dinner digestif recommendation was perfect.,restaurants,No
Brilliant — the nurse took my blood pressure on my dominant arm wrong.,healthcare,Yes
Luggage storage was offered immediately at check-in.,hotels,No
Love the random crashes that wipe form submissions.,apps,Yes
Fantastic — the plot holes were bigger than the screen.,movies,Yes
Super — the keyboard shortcuts conflict with each other.,apps,Yes
Loved the beautiful view of the ventilation shaft.,hotels,Yes
Loved the 'warm welcome' consisting of a form and a key card.,hotels,Yes
The dessert was the highlight of the meal — beautifully presented.,restaurants,No
Brilliant film — the plot made zero sense from beginning to end.,movies,Yes
Fantastic — the app won't let me paste a password.,apps,Yes
Great — the 'no noise after 10pm' policy ignored by the staff themselves.,hotels,Yes
Autosave has saved me from losing work on multiple occasions.,apps,No
Fantastic — the ergonomic chair hurt my back more.,ecommerce,Yes
The locking mechanism is child-safe yet easy for adults.,ecommerce,No
Loved the action sequences — the editing made them unwatchable.,movies,Yes
Super clean — found someone else's hair in every corner.,hotels,Yes
The doctor took time to explain every option thoroughly.,healthcare,No
Great — the star-studded cast was wasted in a thin script.,movies,Yes
The sharing plates arrived in a thoughtful order.,restaurants,No
Superb! The app forgets my password every single week.,apps,Yes
Super — the 'independent' spirit was crushed by a studio ending.,movies,Yes
Genius move adding more ads than content.,apps,Yes
Brilliant — the documentary's conclusion contradicted its evidence.,movies,Yes
Great — the 'high-absorbency' towel left me wetter.,ecommerce,Yes
Loved the spacious room that was the size of a cupboard.,hotels,Yes
Billing matched exactly what was quoted beforehand.,healthcare,No
Referral was processed and confirmed the same day.,healthcare,No
Loved the restaurant that apologised for every dish without improving any.,restaurants,Yes
Wonderful that in-app purchases vanish after a reinstall.,apps,Yes
Custom shortcuts make repeated tasks much quicker.,apps,No
Backup and restore worked perfectly after switching phones.,apps,No
The restaurant's loyalty scheme offered real value.,restaurants,No
Great — the reboot had higher effects budget and lower everything else.,movies,Yes
The specialist waited for me to take notes before continuing.,healthcare,No
"Fantastic — the mixologist left to make cocktails, returned with water.",restaurants,Yes
Pet-friendly policy was well-organised with all amenities.,hotels,No
Super — the doctor spent the consultation typing and never looked up.,healthcare,Yes
Cold-chain delivery kept the perishable item fresh.,ecommerce,No
Super — the pillow was the density of a cracker.,hotels,Yes
Loved the blender that couldn't blend a banana.,ecommerce,Yes
A sequel that justified its existence completely.,movies,No
The app never crashes mid-transaction.,apps,No
The GP shared the specialist's notes proactively.,healthcare,No
I extended my stay and was given the same rate.,hotels,No
Brilliant — the in-room tablet was locked to the hotel's app.,hotels,Yes
Brilliant — the 'new message' badge never clears.,apps,Yes
Loved the product that stopped working within 48 hours.,ecommerce,Yes
Product does exactly what the description says.,ecommerce,No
Great — the score was louder during dialogue than during action.,movies,Yes
Loved the restaurant that apologised for every dish without improving any.,restaurants,Yes
Brilliant — every female character existed only to motivate a male one.,movies,Yes
Loved the 'stability improvements' that added new crashes.,apps,Yes
Great — the concierge recommended a restaurant that was closed.,hotels,Yes
Loved the intimate setting shared with a screaming hen party.,restaurants,Yes
Super — the hotel app confirmed my stay in the wrong city.,hotels,Yes
I compared three brands — this one had the best build quality.,ecommerce,No
Brilliant — the adjustable lamp can only point at the ceiling.,ecommerce,Yes
A sequel that justified its existence completely.,movies,No
Fantastic dialogue — every line was a cliché.,movies,Yes
The fish was perfectly cooked — not a degree over.,restaurants,No
Fantastic — the patient liaison 'resolved' my complaint by losing my file.,healthcare,Yes
Love how replying to a notification opens a blank screen.,apps,Yes
Love the 'dietary requirement noted' that was completely ignored.,restaurants,Yes
Brilliant — the 'open kitchen' let me watch my order be forgotten.,restaurants,Yes
Great — the seed kit grew exactly zero plants.,ecommerce,Yes
The film's genre subversion felt earned rather than clever for its own sake.,movies,No
Loved the 'dark and gritty' reboot that was just ugly.,movies,Yes
The hotel's history tour of the building was fascinating.,hotels,No
The gym equipment was modern and all working.,hotels,No
Outstanding that they removed copy-paste from text fields.,apps,Yes
Wonderful — the opening credits set a mood the rest of the film abandoned.,movies,Yes
Fantastic — the 'exclusive' private dining room was a sectioned-off table.,restaurants,Yes
The outdoor seating was comfortable and well-maintained.,restaurants,No
Fantastic — the 'complimentary champagne' was flat orange juice.,hotels,Yes
Minibar was fully stocked and fairly priced.,hotels,No
Fantastic that the app requires iOS 17 but crashes on it.,apps,Yes
Crash reports are clearly requested and easy to submit.,apps,No
Great — the extra bed request was forgotten every day.,hotels,Yes
Super — the service charge was added twice to the bill.,restaurants,Yes
Super — the waiting area chairs are designed for torture.,healthcare,Yes
Loved the character development — there was none.,movies,Yes
Super — the parking lot for the health center was in a different suburb.,healthcare,Yes
Wonderful — the 'memory foam' pillow has the density of a brick.,ecommerce,Yes
The specialist reviewed my history before the appointment.,healthcare,No
Reception resolved a noise complaint immediately.,hotels,No
Loved the 'gourmet' meal kit that included uncooked frozen vegetables.,ecommerce,Yes
The carrying case was a thoughtful inclusion.,ecommerce,No
The narrative structure was inventive without being gimmicky.,movies,No
Great — the smart outlet required a different app each month.,ecommerce,Yes
The conference facilities were set up exactly to my brief.,hotels,No
Great hotel — the 'ocean view' room faced a car park.,hotels,Yes
Wonderful — the daily streak broke because of a server error.,apps,Yes
Loved the phone stand that couldn't hold my phone upright.,ecommerce,Yes
The room's USB-C ports were a genuinely modern convenience.,hotels,No
The political themes were present without being preachy.,movies,No
Fantastic — the car cover flew off in a gentle breeze.,ecommerce,Yes
Phenomenal engineering — same bug present for two years.,apps,Yes
The practice nurse was thorough during my annual check.,healthcare,No
Love how the check-in took 90 minutes.,hotels,Yes
Brilliant that the logout button takes me back to home.,apps,Yes
Great acting — the lead delivered every line identically.,movies,Yes
Super — the mocktail cost more than the cocktail.,restaurants,Yes
Great — the sommelier's recommendation cost ten times the meal.,restaurants,Yes
Super — the rooftop bar had no roof.,hotels,Yes
Wonderful — the automated appointment reminder called me at midnight.,healthcare,Yes
The staff's food knowledge matched a Michelin-starred restaurant.,restaurants,No
Content filters are effective and straightforward to configure.,apps,No
I've been using this for six months with zero crashes.,apps,No
Loved the view of the dumpsters below my 'garden view' balcony.,hotels,Yes
Great — the self-watering planter drowned my plant.,ecommerce,Yes
Fantastic — the LED lamp is dimmer than a candle.,ecommerce,Yes
Great — the 'best steak in town' lost to a frozen supermarket one.,restaurants,Yes
Fantastic — they billed my insurance wrong and I paid double.,healthcare,Yes
Fantastic — the marketing promised a thriller; the film delivered a nap.,movies,Yes
The location shooting added immeasurably to the story's texture.,movies,No
The ENT specialist resolved a two-year issue in one appointment.,healthcare,No
Wonderful — the film's twist worked only if you ignored act one entirely.,movies,Yes
Super — the doctor dismissed every symptom I described.,healthcare,Yes
"Super — the hero's arc was: good person → good person, no change.",movies,Yes
The blackout curtains blocked every bit of morning light.,hotels,No
Brilliant — every female character existed only to motivate a male one.,movies,Yes
Feedback submitted through the app received a response.,apps,No
The film was shorter and more effective than most in the genre.,movies,No
Super — the voiceover narrated what was already visible on screen.,movies,Yes
Wonderful comedy — I laughed zero times.,movies,Yes
Thrilling experience trying to cancel a subscription.,apps,Yes
The reproductive health counsellor was non-judgemental.,healthcare,No
Super — the 'quiet corner table' faced the bathrooms.,restaurants,Yes
Blood pressure was measured correctly and consistently.,healthcare,No
Wonderful — the wine was corked; the waiter disagreed.,restaurants,Yes
Notifications are grouped intelligently so my screen isn't cluttered.,apps,No
I ordered three times and every order was correct.,ecommerce,No
The charcuterie board was beautifully composed.,restaurants,No
Wonderful — the 'complimentary amuse-bouche' was a single cracker.,restaurants,Yes
Loved the opening that had nothing to do with the rest of the film.,movies,Yes
So convenient that it times out after 30 seconds of idle.,apps,Yes
Great — the comedy had 45 setup jokes and 0 punchlines.,movies,Yes
Loved the restaurant that runs out of ice in August.,restaurants,Yes
Great — the skin biopsy results came back with no explanation whatsoever.,healthcare,Yes
Loved the travel pillow that hurt my neck worse than nothing.,ecommerce,Yes
The product's folding mechanism is smooth and robust.,ecommerce,No
The atmosphere was lively without being too loud for conversation.,restaurants,No
Love the notifications I never asked for at 3am.,apps,Yes
Great — the sleep clinic diagnosed me after a two-year waitlist.,healthcare,Yes
Perfect app if you enjoy staring at loading spinners.,apps,Yes
Loved the surprise update that removed my custom themes.,apps,Yes
The app handles large files without slowing down.,apps,No
Super — the MRI report was sent to the wrong doctor.,healthcare,Yes
Great — the 'terrifying' monster looked like a costume.,movies,Yes
Wonderful — the time-travel rules changed to suit the plot.,movies,Yes
Loved the 'fireproof' safe that melted in a small fire.,ecommerce,Yes
"Fantastic update, now nothing works at all.",apps,Yes
Fantastic — my patient records were lost three times.,healthcare,Yes
I returned a faulty item and received a replacement promptly.,ecommerce,No
"Wonderful — the dietitian told me to eat less, charged me $300.",healthcare,Yes
The specialist reviewed my history before the appointment.,healthcare,No
Wonderful packaging — arrived completely crushed.,ecommerce,Yes
Fantastic — they billed my insurance wrong and I paid double.,healthcare,Yes
The bath products were of noticeably higher quality than usual.,hotels,No
Super — the 'quiet corner table' faced the bathrooms.,restaurants,Yes
"Received a genuine branded item, not a third-party copy.",ecommerce,No
Wonderful — the documentary felt more staged than fiction.,movies,Yes
Loved the 'improved reliability' that made it fail more.,apps,Yes
Excellent search functionality — results are always accurate.,apps,No
Fantastic — the cardiologist's office lost my ECG three times.,healthcare,Yes
Every supporting character felt three-dimensional.,movies,No
Fantastic — the comedy was funnier in the trailer than the film.,movies,Yes
The pool bar service was attentive without being intrusive.,hotels,No
Checkout was instant via the app — no queue at all.,hotels,No
Super — the smoking cessation programme was held in the hospital car park.,healthcare,Yes
Loved the 'easy parking' that required a 10-minute walk.,hotels,Yes
So impressed by the app that charges twice for one purchase.,apps,Yes
Fantastic — four of the five reviews are from the same person.,ecommerce,Yes
Fantastic — the 'quiet lunch' turned into a corporate event.,restaurants,Yes
Great — the bathroom had a ceiling fan that sprayed water.,hotels,Yes
Loved the 'improved' checkout that added extra steps.,apps,Yes
Wonderful — the new chef somehow made the menu worse.,restaurants,Yes
Brilliant — the 'Japanese-inspired' ramen was diluted water.,restaurants,Yes
Wonderful — the 'daily special' was the same for three months.,restaurants,Yes
Loved the early check-in at the regular check-in time.,hotels,Yes
Brilliant — the comedy relief was the least funny part.,movies,Yes
The hotel proactively called to confirm my late arrival.,hotels,No
Super — the blackout curtains let in full sunlight.,ecommerce,Yes
The product's carbon offset label was a welcome feature.,ecommerce,No
The doctor took time to explain every option thoroughly.,healthcare,No
Loved the update that made the font unreadably small.,apps,Yes
Super — the waiting area chairs are designed for torture.,healthcare,Yes
Character arcs were earned and felt true to each person.,movies,No
Super — the pillow was the density of a cracker.,hotels,Yes
Brilliant — the film's 'ambiguous' ending was just unfinished.,movies,Yes
Super — the rooftop bar had no roof.,hotels,Yes
Great — the 'freshly squeezed' juice came from a carton.,restaurants,Yes
Wonderful — the recommended content is always irrelevant.,apps,Yes
Super — the non-stick pan stuck to everything from day one.,ecommerce,Yes
The family table worked well — kids' and adult food arrived together.,restaurants,No
The pasta was rolled by hand and it showed in every bite.,restaurants,No
"Wonderful, the app deleted all my saved data again.",apps,Yes
The ensemble cast had genuine chemistry across the board.,movies,No
Wonderful — the 'professional' hair dryer blew cold air.,ecommerce,Yes
Loved the 'improved reliability' that made it fail more.,apps,Yes
Maintenance responded within 10 minutes to my mild request.,hotels,No
Permissions are minimal and each one is explained.,apps,No
"The specials were genuinely special, not just leftover promotions.",restaurants,No
Brilliant film — the plot made zero sense from beginning to end.,movies,Yes
"Fantastic update, now nothing works at all.",apps,Yes
Wonderful — the seller charged me twice and vanished.,ecommerce,Yes
The packaging was easy to open without damaging the item.,ecommerce,No
Loved the 'minor bug fix' that broke the main function.,apps,Yes
The app remembers my preferences between sessions.,apps,No
Delivery driver left the item in the specified safe place.,ecommerce,No
Fantastic — the 'farm-fresh eggs' were scrambled into foam.,restaurants,Yes
Brilliant — the film's message was beaten into you every 10 minutes.,movies,Yes
Perfect app if you enjoy staring at loading spinners.,apps,Yes
The local area map at reception included honest opinions.,hotels,No
Loved the 'gourmet' meal kit that included uncooked frozen vegetables.,ecommerce,Yes
Loved the 'easy parking' that required a 10-minute walk.,hotels,Yes
The costume design conveyed character without a single line.,movies,No
Great hotel — the 'ocean view' room faced a car park.,hotels,Yes
The kitchen's herb selection was visible in every dish's flavour.,restaurants,No
Super — the doctor Googled my condition in front of me.,healthcare,Yes
The nutritionist provided a practical and achievable plan.,healthcare,No
Loved the 'improved' checkout that added extra steps.,apps,Yes
I ordered three times and every order was correct.,ecommerce,No
Brilliant that the offline mode requires internet.,apps,Yes
Wonderful — the mystery's detective was less observant than the audience.,movies,Yes
Follow-up call came within the promised timeframe.,healthcare,No
Loved the ambiance — music loud enough to drown conversation.,restaurants,Yes
Wonderful — the 'quick blood test' required three visits to complete.,healthcare,Yes
Super — the vegan option had chicken on it.,restaurants,Yes
The conference facilities were set up exactly to my brief.,hotels,No
The post-operative pain plan was effective and well-managed.,healthcare,No
Fantastic — the 'pet-friendly' room wasn't my pet-allergic room.,hotels,Yes
The fitness class was well-led and suited all fitness levels.,hotels,No
The discharge plan included community support contacts.,healthcare,No
Super — the smoking cessation programme was held in the hospital car park.,healthcare,Yes
Great — the air purifier just recycled the smell.,hotels,Yes
Super — the 'freshly baked' bread was cold in the middle.,restaurants,Yes
The in-room safe was large enough for a laptop.,hotels,No
Loved the biopic's version of events that the subject publicly denied.,movies,Yes
Fantastic — the achievements page crashes every time I open it.,apps,Yes
The restaurant's dog-friendly policy was well-organised.,restaurants,No
The optometrist's prescription was accurate from the first fitting.,healthcare,No
Fantastic — the charger port on the device was incompatible.,ecommerce,Yes
The film's ending respected the journey without over-explaining it.,movies,No
Great special effects — the green screen was visible in every scene.,movies,Yes
Brilliant — the in-room dining took three hours and arrived cold.,hotels,Yes
Subscription delivery is always on time and correctly packed.,ecommerce,No
The outdoor seating was comfortable and well-maintained.,restaurants,No
Super — the parking lot for the health center was in a different suburb.,healthcare,Yes
Superb — log-in with Google stopped working.,apps,Yes
Brilliant — the prescription was for the medication I'm allergic to.,healthcare,Yes
Wonderful — the 90-minute film felt like four hours.,movies,Yes
The stunt work was genuinely impressive and clearly real.,movies,No
Loved the signature dish that arrived missing its signature ingredient.,restaurants,Yes
Push notifications are well-timed and relevant.,apps,No
Loved the early check-in at the regular check-in time.,hotels,Yes
Wonderful — the 'true story' had a disclaimer that nothing was true.,movies,Yes
The recent redesign improved usability without confusion.,apps,No
Ingredients were visibly fresh — the salad was outstanding.,restaurants,No
The mocktail was as well-crafted as the cocktails.,restaurants,No
The app doesn't request contacts for unrelated reasons.,apps,No
The climactic scene was among the best-staged I've seen.,movies,No
Fantastic — the waiting room had a single 2014 magazine.,healthcare,Yes
Loved the product that stopped working within 48 hours.,ecommerce,Yes
Loved the bloated franchise entry that forgot to have a story.,movies,Yes
Wonderful — the opening credits set a mood the rest of the film abandoned.,movies,Yes
Brilliant service — the food arrived before I'd ordered.,restaurants,Yes
The pasta was rolled by hand and it showed in every bite.,restaurants,No
The step counter matches my fitness tracker closely.,apps,No
Fantastic — the paediatrician's office lost my child's vaccination records.,healthcare,Yes
A mischarge was identified and reversed before I noticed.,hotels,No
The child health nurse was patient and thorough.,healthcare,No
The hotel was quiet despite being in the city centre.,hotels,No
Loved the five-minute action sequence that rendered 90 minutes pointless.,movies,Yes
Superb delivery — arrived three weeks after the estimate.,ecommerce,Yes
Brilliant — the 'new message' badge never clears.,apps,Yes
Terrific app — uninstalled itself without warning.,apps,Yes
The in-app help centre actually answered my question.,apps,No
Wonderful — the lobster bisque had the texture of wallpaper paste.,restaurants,Yes
Animation style was bold and perfectly suited to the story.,movies,No
Wonderful — the gluten-free bread was regular bread.,restaurants,Yes
Brilliant — the 'family friendly' menu charged double for half-portions.,restaurants,Yes
Super — the foam roller was harder than the floor.,ecommerce,Yes
The script's callbacks were subtle and rewarding on re-watch.,movies,No
Fantastic — the patient liaison 'resolved' my complaint by losing my file.,healthcare,Yes
Wonderful — the degustation was served at the speed of geological change.,restaurants,Yes
Super — the 'artisanal' ice cream was store-bought with a fancy cone.,restaurants,Yes
Super — the charging dock never actually charges.,ecommerce,Yes
Super — the MRI report was sent to the wrong doctor.,healthcare,Yes
Wonderful — the ER triage nurse told me to sit and wait for four hours.,healthcare,Yes
Super — the foam roller was harder than the floor.,ecommerce,Yes
The outdoor seating was comfortable and well-maintained.,restaurants,No
A sequel that justified its existence completely.,movies,No
The magnetic clasp is strong and easy to use.,ecommerce,No
The mocktail was as well-crafted as the cocktails.,restaurants,No
The size guide was accurate; the fit was perfect.,ecommerce,No
Great — the 'epic' burger fell apart before the first bite.,restaurants,Yes
"The scent is subtle and pleasant, as described.",ecommerce,No
Fantastic — the cardiologist's office lost my ECG three times.,healthcare,Yes
Great — the reboot had higher effects budget and lower everything else.,movies,Yes
Brilliant — the nurse forgot my allergy was on file and almost administered it.,healthcare,Yes
The film's humour came from character rather than misfortune.,movies,No
Brilliant — the Wi-Fi reached only the lobby.,hotels,Yes
Fantastic — the hotel's map had the gym and restaurant swapped.,hotels,Yes
Wonderful ending — they forgot to write one.,movies,Yes
Great romance — zero chemistry between the leads.,movies,Yes
Love how the app drains my battery in 10 minutes.,apps,Yes
Great app — my subscription renewed without any warning.,apps,Yes
Great — the solar charger only works indoors apparently.,ecommerce,Yes
The packaging was easy to open without damaging the item.,ecommerce,No
Wonderful — the time-travel rules changed to suit the plot.,movies,Yes
Super — the screen protector scratched my screen.,ecommerce,Yes
Super — the standing desk collapsed when I stood at it.,ecommerce,Yes
Fantastic — the 'farm-fresh eggs' were scrambled into foam.,restaurants,Yes
Super — the reservation was lost despite my confirmation email.,restaurants,Yes
The in-app help centre actually answered my question.,apps,No
Checkout was instant via the app — no queue at all.,hotels,No
Fantastic — the marketing promised a thriller; the film delivered a nap.,movies,Yes
Product came with a pre-installed battery already charged.,ecommerce,No
Wonderful dessert — served before the main course.,restaurants,Yes
Fantastic — the 'child-friendly' hotel had no activities for children.,hotels,Yes
